"filename", "language", "JSON", "PHP", "JavaScript", "HTML", "CSS", "Markdown", "C#", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\sublime.html", "HTML", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\tern.html", "HTML", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 22, 134
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\theme.html", "HTML", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 7, 201
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\trailingspace.html", "HTML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\variableheight.html", "HTML", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 12, 68
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\vim.html", "HTML", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 14, 115
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\visibletabs.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\widget.html", "HTML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 13, 86
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\xmlcomplete.html", "HTML", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 13, 120
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\activebookmark.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 5, 58
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\docs.css", "CSS", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 36, 226
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\internals.html", "HTML", 0, 0, 0, 439, 0, 0, 0, 0, 0, 0, 66, 505
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\manual.html", "HTML", 0, 0, 0, 3347, 0, 0, 0, 0, 0, 0, 415, 3762
